,X,Y,OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME
163,-118.62722222,37.53055556,164,167,FS-1419268,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,13,INF640,BZ9E,SHERWIN,,,,,,2005,2005-07-12 17:00:00.0000000,194,15:23:00.0000000,2,Equipment Use,2005-07-13 00:00:00.0000000,194.0,16:00:00.0000000,0.1,A,37.53055556,-118.62722222,5,USFS,CA,,,
164,-118.59833333,37.5150000000002,165,168,FS-1419271,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,22,INF690,BE0E,VISTA,,,,,,2005,2005-07-20 17:00:00.0000000,202,06:30:00.0000000,1,Lightning,2005-07-21 00:00:00.0000000,202.0,09:00:00.0000000,0.1,A,37.515,-118.59833333,5,USFS,CA,,,
853,-118.64111111,37.60027778,854,866,FS-1420701,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,50,INF880,BE0E,ROUND,,,,,,2005,2005-08-08 17:00:00.0000000,221,14:36:00.0000000,1,Lightning,2005-08-09 00:00:00.0000000,221.0,18:30:00.0000000,0.25,A,37.60027778,-118.64111111,5,USFS,CA,,,
857,-118.61027778,37.6113888900001,858,870,FS-1420722,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,57,INF949,BE0E,ARROW,,,,,,2005,2005-08-15 17:00:00.0000000,228,12:27:00.0000000,1,Lightning,2005-08-16 00:00:00.0000000,228.0,13:00:00.0000000,0.25,A,37.61138889,-118.61027778,5,USFS,CA,,,
1100,-118.66138889,37.55694444,1101,1113,FS-1421321,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,41,INF837,B3BZ,ROCK,,,,,,2005,2005-08-04 17:00:00.0000000,217,12:50:00.0000000,9,Miscellaneous,2005-08-05 00:00:00.0000000,217.0,20:00:00.0000000,12.0,C,37.55694444,-118.66138889,5,USFS,CA,,,
1535,-118.38305556,37.1263888899999,1536,1550,FS-1422262,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,59,INF1074,B5T1,GLACIER,,,,,,2005,2005-09-02 17:00:00.0000000,246,16:14:00.0000000,9,Miscellaneous,2005-09-03 00:00:00.0000000,246.0,20:00:00.0000000,0.5,B,37.12638889,-118.38305556,5,USFS,CA,,,
1705,-118.9475,37.73,1706,1720,FS-1422605,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,19,INF-686,BE0E,LOOKOUT,,,,,,2005,2005-07-19 17:00:00.0000000,201,20:45:00.0000000,1,Lightning,2005-07-21 00:00:00.0000000,202.0,15:00:00.0000000,0.1,A,37.73,-118.9475,5,USFS,CA,,,
1906,-118.935,37.80138889,1906,1921,FS-1422997,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,21,INF-689,BE0E,TUNNEL,,,,,,2005,2005-07-19 17:00:00.0000000,201,21:30:00.0000000,1,Lightning,2005-07-21 00:00:00.0000000,202.0,13:00:00.0000000,0.1,A,37.80138889,-118.935,5,USFS,CA,,,
1910,-119.05138889,37.6519444400001,1910,1925,FS-1423012,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,26,INF-711,BE0E,TRIPLETREE,,,,,,2005,2005-07-20 17:00:00.0000000,202,19:30:00.0000000,1,Lightning,2005-07-22 00:00:00.0000000,203.0,16:00:00.0000000,0.1,A,37.65194444,-119.05138889,5,USFS,CA,,,
1913,-118.76805556,37.75083333,1913,1928,FS-1423016,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,34,INF-763,BE0E,OWENS,,,,,,2005,2005-07-27 17:00:00.0000000,209,14:54:00.0000000,1,Lightning,2005-07-28 00:00:00.0000000,209.0,18:30:00.0000000,0.1,A,37.75083333,-118.76805556,5,USFS,CA,,,
1916,-118.88527778,37.60166667,1916,1931,FS-1423020,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,35,INF-764,BE0E,LAUREL,,,,,,2005,2005-07-27 17:00:00.0000000,209,15:19:00.0000000,1,Lightning,2005-07-28 00:00:00.0000000,209.0,20:05:00.0000000,0.1,A,37.60166667,-118.88527778,5,USFS,CA,,,
1921,-118.86888889,37.60111111,1921,1936,FS-1423037,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,39,INF792,BE0E,POND,,,,,,2005,2005-07-30 17:00:00.0000000,212,08:56:00.0000000,1,Lightning,2005-07-31 00:00:00.0000000,212.0,17:11:00.0000000,0.1,A,37.60111111,-118.86888889,5,USFS,CA,,,
1980,-118.81833333,37.6516666700001,1981,1996,FS-1423156,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,2,INF291,BQ1N,CINCO,,,,,,2005,2005-05-04 17:00:00.0000000,125,09:20:00.0000000,4,Campfire,2005-05-05 00:00:00.0000000,125.0,10:30:00.0000000,0.1,A,37.65166667,-118.81833333,5,USFS,CA,,,
2145,-119.01666667,37.7513888900001,2145,2160,FS-1423529,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,58,INF-1066,B5RB,GLASS,,,,,,2005,2005-09-01 17:00:00.0000000,245,14:52:00.0000000,7,Arson,2005-09-05 00:00:00.0000000,248.0,14:30:00.0000000,20.0,C,37.75138889,-119.01666667,5,USFS,CA,,,
2151,-118.58444444,37.68472222,2151,2166,FS-1423548,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,14,INF-658,B0LD,LOG,,,,,,2005,2005-07-15 17:00:00.0000000,197,10:50:00.0000000,4,Campfire,2005-07-16 00:00:00.0000000,197.0,11:41:00.0000000,0.1,A,37.68472222,-118.58444444,5,USFS,CA,,,
3375,-118.97777778,37.79222222,3376,3394,FS-1425956,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,60,INF-1097,B56F,BIG HORN,,,,,,2005,2005-09-06 17:00:00.0000000,250,11:30:00.0000000,9,Miscellaneous,2005-09-07 00:00:00.0000000,250.0,16:26:00.0000000,0.1,A,37.79222222,-118.97777778,5,USFS,CA,,,
3579,-118.60444444,37.3786111100001,3580,3598,FS-1426322,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,63,INF1182,B66P,MUDD,,,,,,2005,2005-09-22 17:00:00.0000000,266,14:39:00.0000000,9,Miscellaneous,2005-09-23 00:00:00.0000000,266.0,21:00:00.0000000,32.0,C,37.37861111,-118.60444444,14,MISSING/NOT SPECIFIED,CA,,,
5140,-118.05222222,36.1188888900001,5141,5165,FS-1428861,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,48,873,BE0E,PASS,,,,,,2005,2005-08-07 17:00:00.0000000,220,10:00:00.0000000,1,Lightning,2005-08-10 00:00:00.0000000,222.0,11:30:00.0000000,0.25,A,36.11888889,-118.05222222,5,USFS,CA,,,
5196,-118.21916667,36.60527778,5197,5221,FS-1428967,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,25,710,BE0E,PORTAL,,,,,,2005,2005-07-20 17:00:00.0000000,202,18:00:00.0000000,1,Lightning,2005-07-23 00:00:00.0000000,204.0,18:00:00.0000000,60.0,C,36.60527778,-118.21916667,5,USFS,CA,,,
5205,-118.16944444,36.4577777800001,5206,5230,FS-1428986,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,8,471,BVW6,STUMP,,,,,,2005,2005-06-21 17:00:00.0000000,173,11:15:00.0000000,9,Miscellaneous,2005-06-22 00:00:00.0000000,173.0,17:00:00.0000000,0.1,A,36.45777778,-118.16944444,5,USFS,CA,,,
5214,-118.30222222,36.3372222200001,5215,5239,FS-1428997,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,40,828,BES4,BEAR,,,,,,2005,2005-08-03 17:00:00.0000000,216,08:41:00.0000000,1,Lightning,2005-09-01 00:00:00.0000000,244.0,17:45:00.0000000,0.1,A,36.33722222,-118.30222222,5,USFS,CA,,,
